Bug ID,Module,Title,Steps to Reproduce,Expected Result,Actual Result,Severity,Priority,Reporter,Status,Date Found,Video Evidence,Screenshot Evidence
BUG-026,Kalender Akademik (Tambah),"Upload header (foto <2MB) sukses simpan (toast & API success) tapi tidak ter-persist — di list kolom Header kosong (text ""-"")","1. Login sebagai admin
2. Navigate ke Pengaturan -> Akademik -> Kalender Akademik
3. Klik tombol 'Tambah Kalender Akademik'
4. Pilih Instansi (mis. SD Digital Indonesia)
5. Pilih Awal pekan = Senin, Nama Pekan = Minggu
6. Klik 'Pilih File', upload header-valid.png (PNG, <2MB)
7. Pastikan preview card muncul dengan nama file & icon trash
8. Klik 'Simpan'
9. Tunggu toast sukses 'Kalender Akademik berhasil ditambahkan'
10. Cari row instansi tsb di list, inspect kolom Header (col-4)",Kolom Header pada row menampilkan tag img alt=header dengan thumbnail foto yang baru di-upload (per PRD: Foto header kalender pendidikan opsional max 2MB — file harus ter-attach ke kalender per-instansi).,"Kolom Header pada row menampilkan teks ""-"" (placeholder kosong) — seakan tidak ada file ter-upload. Padahal toast sukses muncul & modal close normal. HTML actual: td berisi text ""-"" tanpa img. Regresi: sebelumnya fitur ini berfungsi.",High,High,Fajar Ardiansyah,Open,24 Juni 2026,cypress/videos/stagingv3/Pengaturan/Pengaturan Akademik/pengaturan kalender/tambahkalender.cy.js.mp4,cypress/screenshots/stagingv3/Pengaturan/Pengaturan Akademik/pengaturan kalender/tambahkalender.cy.js/
BUG-027,Kalender Akademik (List / Filter),"Dropdown filter Instansi menampilkan opsi ""Semua"" dua kali dengan behavior berbeda yang membingungkan","1. Login sebagai admin
2. Buka menu Pengaturan -> Akademik -> Kalender Akademik
3. Klik header kolom 'Instansi' / button filter Instansi (dropdown muncul)
4. Amati daftar opsi dari atas ke bawah","Hanya ada satu opsi 'Semua' / 'Semua Instansi' untuk menampilkan seluruh data (reset filter), bukan dua opsi yang behavior-nya berbeda.","Muncul DUA opsi 'Semua' berurutan di top dropdown:
- Opsi #1: pilih ini -> tetap di mode filter, label trigger tetap tertulis 'Semua' (mode filter masih dianggap aktif walaupun semua instansi ditampilkan).
- Opsi #2: pilih ini (opsi system reset) -> data ditampilkan semua TAPI label trigger berubah kembali jadi 'Instansi' (mode filter benar-benar di-reset).
Akibat: user tidak tahu opsi mana yang harus dipilih untuk 'reset filter'; behavior keduanya kelihatan sama secara visual tapi state filter di FE berbeda. Confusing UX & berpotensi salah interpretasi state filter aktif.",Medium,Medium,Fajar Ardiansyah,Open,25 Juni 2026,,
BUG-028,Kalender Akademik,Inkonsistensi naming modul: tombol pakai 'Kalender Akademik' tapi empty state pakai 'Kalender Pendidikan',"1. Login sebagai admin
2. Buka menu Pengaturan -> Akademik -> Kalender Akademik
3. Amati tombol 'Tambah Kalender Akademik' di pojok kanan atas
4. Trigger empty state (mis. filter Instansi ke instansi yang belum punya kalender)
5. Amati title & inline button di empty state","Naming konsisten di seluruh modul. Pilih salah satu: 'Kalender Akademik' (sesuai breadcrumb & PRD modul) atau 'Kalender Pendidikan', dan dipakai di semua tempat.","Naming tercampur:
- Tombol primary: 'Tambah Kalender Akademik'
- Empty state title (H3): 'Data Kalender Pendidikan tidak ditemukan'
- Empty state inline button: 'Tambah Kalender Pendidikan'
Inkonsistensi copywriting bikin user ragu apakah 'Akademik' & 'Pendidikan' adalah modul yang sama atau dua modul berbeda. Tidak mengganggu fungsi, tapi merusak kesan rapi UX.",Low,Low,Fajar Ardiansyah,Open,25 Juni 2026,,
BUG-029,Cross-Module (Tabel List),"Dropdown menu sort/pin per kolom tabel pakai bahasa Inggris (Asc/Desc/Pin to left/right, Move to Left/Right) — tidak konsisten dgn UI Bahasa Indonesia, ter-reproduce di hampir semua modul tabel","1. Login sebagai admin
2. Buka modul Pengaturan -> Akademik yang punya tabel list (Mapel/Jurusan/Tingkat/Kelas/Kamar/Tag/Kalender)
3. Klik salah satu header kolom (button[data-slot=dropdown-menu-trigger] + svg.lucide-chevrons-up-down)
4. Dropdown menu muncul - amati teks tiap menu item","Semua menu item ditulis dalam Bahasa Indonesia sesuai konvensi UI app: 'Naik' (Asc), 'Turun' (Desc), 'Pin ke kiri', 'Pin ke kanan', 'Pindah ke Kiri', 'Pindah ke Kanan'.","Menu item dropdown sort/pin di header kolom semua berbahasa Inggris:
- 'Asc' (harusnya 'Naik' / 'Urut Naik')
- 'Desc' (harusnya 'Turun' / 'Urut Turun')
- 'Pin to left' / 'Pin to right'
- 'Move to Left' / 'Move to Right' (disabled state)
Reproduce di lintas modul: Mapel, Jurusan, Tingkat, Kelas, Kamar, Tag, Kalender Akademik. KECUALI Tahun Ajaran (tabel-nya tidak punya dropdown sort/pin per kolom). Indikasi pakai komponen tabel shared (kemungkinan TanStack Table / library) dengan default English labels yg belum di-i18n ke Bahasa Indonesia. UX inkonsisten dgn sisa app yg full Bahasa Indonesia.",Low,Low,Fajar Ardiansyah,Open,25 Juni 2026,,
BUG-030,Pengaturan Akademik - Kalender Akademik (Edit),Form Edit Kalender persist draft value setelah Batal + reopen (tidak reset ke server value),"1. Login sebagai admin
2. Buka Pengaturan -> Akademik -> Kalender Akademik
3. Klik icon Edit di salah satu row (mis. SMP Digital Indonesia+)
4. Catat value field Awal Pekan sekarang (mis. Senin)
5. Klik dropdown Awal Pekan -> ubah ke value opposite (Minggu)
6. Klik tombol Batal (bukan Simpan)
7. Modal close - konfirmasi tidak ada toast success (memang tidak Simpan)
8. Klik icon Edit di row yg SAMA sekali lagi
9. Amati value field Awal Pekan di modal Edit","Form Edit reset ke value terkini dari server saat modal dibuka ulang. Value Awal Pekan harus balik ke Senin (nilai step 4), bukan Minggu (draft uncommitted step 5). Rationale: draft tidak di-Simpan (dibatalkan), jadi state UI tidak boleh persist di sesi berikutnya - user bisa keliru anggap value draft sudah tersimpan padahal belum, atau langsung Simpan ulang tanpa cek dan commit unintended change.","Modal Edit menampilkan value Awal Pekan = Minggu (draft dari sesi sebelumnya yg sudah dibatalkan). Value NOT reset ke server value (Senin). Same behavior reproduce untuk field Nama Pekan & Instansi & Header (draft state semua persist). Impact: potensi commit unintended change kalau user klik Simpan tanpa aware bahwa form belum reset. Kemungkinan root cause: React state form (react-hook-form defaultValues?) tidak di-reset saat modal unmount, sehingga saat mount lagi state lama masih ada.",Medium,Medium,Fajar Ardiansyah,Open,27 Juni 2026,,
BUG-031,Kalender Akademik (Edit),Remove header via trash preview di modal Edit tidak me-remove gambar di list — toast sukses muncul tapi kolom Header row tetap menampilkan gambar lama,"1. Login sebagai admin
2. Buka Pengaturan -> Akademik -> Kalender Akademik
3. Cari row yang punya header image di kolom Header (mis. SMA Digital Indonesia)
4. Klik ikon Edit (pensil) pada row
5. Di modal Edit, klik ikon trash merah pada preview card header -> preview card hilang di modal
6. Klik Simpan
7. Amati toast sukses & kolom Header row","Toast sukses muncul, kolom Header row berubah jadi placeholder ""-"" (tidak ada gambar). Header ter-remove baik di FE list maupun BE.","Toast sukses ""Kalender Akademik berhasil diperbarui"" muncul, tapi kolom Header row TETAP menampilkan gambar lama. Data integritas FE list <-> state BE tidak sinkron. User mengira header masih tersimpan padahal action remove sudah dieksekusi. Kemungkinan root cause: FE tidak refetch list setelah edit sukses ATAU BE tidak persist perubahan remove. Ditemukan via Cypress TC-KLD-EDT-006 + dikonfirmasi manual (user report: ""masih nampilin gambarnya, padahal udah dihapus datanya"").",Medium,Medium,Fajar Ardiansyah,Open,02 Juli 2026,,
BUG-032,Jadwal Pelajaran,Layout Tag picker overlap: baris chip nabrak baris checkbox pertama & tombol +,"1. Login sebagai admin
2. Buka Pengaturan Akademik > Jadwal Pelajaran
3. Klik ""Tambah Jadwal Pelajaran""
4. Pilih Instansi + Tingkat + Kelas valid
5. Klik picker ""Pilih Tag"" -> dropdown checkbox terbuka
6. Pilih beberapa tag sampai chip terpilih membentuk beberapa baris di area chip
7. Amati posisi baris chip vs baris checkbox pertama + tombol ""+""",Chip terpilih & baris checkbox tidak overlap; layout tetap rapi,"Baris chip nabrak/menutupi baris checkbox pertama & tombol ""+"" tambah tag; user susah klik checkbox baris pertama saat sudah pilih banyak tag",Medium,Medium,Fajar Ardiansyah,Open,04 Juli 2026,,
BUG-033,Jadwal Pelajaran,Toast penolakan duplikasi jadwal pakai style warning bukan destructive,"1. Login sebagai admin
2. Pastikan sudah ada entry jadwal untuk Instansi=X, Tingkat=Y, Kelas=Z pada Tahun Ajaran + Semester aktif
3. Buka Pengaturan Akademik > Jadwal Pelajaran > ""Tambah""
4. Isi Instansi=X, Tingkat=Y, Kelas=Z (kombinasi identik dgn entry existing)
5. Klik tombol utama modal (Simpan)
6. Buka DevTools > Elements -> inspect toast Sonner di bottom-right
7. Amati atribut data-type & warna toast","Toast style destructive/error ([data-sonner-toast][data-type=""error""], warna merah) - konsisten dgn pola penolakan aksi (blocker) di modul lain","Toast style warning/amber ([data-sonner-toast][data-type=""warning""]), teks ""Jadwal pelajaran sudah terdaftar!"". Menurunkan urgensi visual (user bisa kira ini soft-warning padahal aksi ditolak sepenuhnya).",Low,Low,Fajar Ardiansyah,Open,04 Juli 2026,,
BUG-034,Jadwal Pelajaran,Tag tidak ikut reset saat ganti Instansi (inkonsisten dgn Tingkat/Kelas/Jurusan),"1. Login sebagai admin
2. Buka Pengaturan Akademik > Jadwal Pelajaran > ""Tambah""
3. Pilih Instansi = X
4. (Opsional) Pilih Tingkat & Kelas
5. Klik picker ""Pilih Tag""; pilih 1 tag (mis. ""mobil"") -> chip muncul di button Tag
6. Ubah Instansi ke Y (nilai berbeda)
7. Amati Tingkat/Kelas/Jurusan -> reset ke placeholder (perilaku benar)
8. Amati Tag -> catat state chip","Konsisten dgn child lain - Tag ikut reset ke placeholder saat parent (Instansi) berubah, karena tag di-scope per Instansi","Tingkat/Kelas/Jurusan reset, TAPI Tag TIDAK reset - chip yg dipilih dari Instansi X tetap ter-select saat Instansi diganti ke Y. Efek samping: user bisa nge-tag entry dgn tag milik Instansi lain (data integrity issue).",Medium,Medium,Fajar Ardiansyah,Open,04 Juli 2026,,
BUG-035,Jadwal Pelajaran,"Opsi Tag tidak di-scope per Instansi + picker aktif prematur (data bloat, akar flakiness)","1. Login sebagai admin
2. Buka Pengaturan Akademik > Jadwal Pelajaran > ""Tambah""
3. TANPA memilih Instansi dulu, klik picker ""Pilih Tag"" -> amati state picker & daftar tag
4. Pilih Instansi = X (misal ""SMA Digital Indonesia"")
5. Buka picker Tag lagi
6. Buka DevTools > Network (XHR); scroll list tag; cek response API list tag
7. Amati apakah query tag include filter instansi_id","(a) Picker Tag DISABLED sampai Instansi dipilih (konsisten dgn dependency chain Tingkat/Kelas/Jurusan); (b) Setelah Instansi dipilih, daftar tag hanya tag milik Instansi tersebut (query API di-scope instansi_id)","(a) Picker Tag aktif meski Instansi belum dipilih; (b) Daftar tag load SEMUA tag lintas-instansi (termasuk ratusan ""QA..."" dari test data) - API tag tidak di-scope per Instansi. Konsekuensi: data bloat + sumber flakiness automation (kasus mirip SDIT sebelumnya).",Medium,Medium,Fajar Ardiansyah,Open,04 Juli 2026,,
BUG-036,Jadwal Pelajaran,"Klik Simpan modal langsung commit record ke DB (risiko ghost record: header ada, jadwal kosong)","1. Login sebagai admin
2. Buka Pengaturan Akademik > Jadwal Pelajaran (List) - catat jumlah row baseline
3. Klik ""Tambah Jadwal Pelajaran""
4. Isi Instansi + Tingkat + Kelas valid (non-duplikat)
5. Klik ""Simpan"" di modal
6. Modal tertutup, redirect ke /setting/academic/course-schedule/{id} (halaman edit)
7. TANPA mengisi jadwal per hari & TANPA klik Simpan di halaman edit -> kembali ke List (back / navigasi menu lain)
8. Reload halaman List; cek jumlah row & cari kombinasi input tadi","List = baseline (BELUM nambah entry). Modal Simpan seharusnya HANYA navigasi + bawa data ke halaman edit, TIDAK commit ke DB. Record baru masuk hanya kalau user berhasil Simpan di halaman edit. (Mencegah ghost record: header tercatat tapi jadwal per hari kosong - refactor spec dari PO.)","List sudah nambah 1 entry saat klik Simpan modal (langsung commit ke DB). Kalau user cabut sebelum Simpan halaman edit -> tetap ada record hantu di list (header ada, jadwal per hari kosong). Ditemukan lewat konfirmasi manual QA + refactor spec dari PO.",Medium,Medium,Fajar Ardiansyah,Open,04 Juli 2026,,
BUG-037,Master Data (Validasi Duplikat - Cross-Module),"Validasi duplikat nama TIDAK KONSISTEN antar modul master-data: sebagian menolak (409/400), sebagian mengizinkan data dobel; tidak ada standar uniqueness","1. Login sebagai admin
2. Uji modul-modul master-data satu per satu: Tambah sebuah nama, lalu Tambah lagi nama yang PERSIS SAMA pada scope yang sama (instansi sama, atau global). Monitor Network (XHR) tiap Simpan kedua.
3. Jenis Tagihan (/proxy-banking/bill-types): Tambah nama duplikat -> BE MENOLAK, HTTP 409.
4. Tipe Pelanggaran (/proxy/violation-types): Tambah nama duplikat -> BE MENOLAK, HTTP 400.
5. Kategori Pengumuman (/proxy/announcement-categories, GLOBAL): Tambah nama duplikat -> BE MENOLAK, HTTP 400, pesan 'Nama kategori sudah digunakan.'.
6. Jenis Guru (/proxy/setting/staffing/teacher_type): Tambah nama duplikat -> BE MENGIZINKAN, data dobel tersimpan (POST 200).
7. Jenis Staff (/proxy/setting/staffing/staff_type): Tambah nama duplikat -> BE MENGIZINKAN, data dobel (POST 200).
8. Kategori Inventaris (/proxy/inventory-categories): Tambah nama duplikat -> BE MENGIZINKAN, data dobel (POST 200).
9. Bandingkan perilaku antar modul.","Ada standar konsisten untuk validasi duplikat di SELURUH modul master-data (ditetapkan PRD). Idealnya setiap master-data menolak nama duplikat dalam scope yang sama (per-instansi atau global) dengan pesan error yang jelas, sehingga tidak muncul data ambigu di seluruh sistem. Minimal, keputusan izinkan/tolak duplikat harus disengaja & seragam untuk modul-modul sejenis.","Perilaku validasi duplikat BERBEDA-BEDA antar modul tanpa pola yang konsisten. MENOLAK duplikat: Jenis Tagihan (HTTP 409, /invoice), Tipe Pelanggaran (HTTP 400, /student-affairs), Kategori Pengumuman (HTTP 400, /administration, global). MENGIZINKAN data dobel: Jenis Guru & Jenis Staff (/staffing), Kategori Inventaris (/inventory) -- POST balik 200 dan baris duplikat benar-benar tersimpan. Tidak ada korelasi dengan bentuk data: Kategori Inventaris & Kategori Pengumuman sama-sama list-nama simpel (1 field Nama) namun Inventaris MENGIZINKAN sedangkan Pengumuman MENOLAK -- jadi teori 'list-nama simpel = boleh dobel' patah. Modul yang mengizinkan duplikat berisiko data ambigu untuk fitur downstream (mirip BUG-012 Jurusan yang di-log High karena tidak ada uniqueness constraint). Indikasi: tidak ada standar/keputusan produk soal uniqueness master-data; kemungkinan kelalaian implementasi per-modul (bukan by-design). Rekomendasi: PRD menetapkan standar uniqueness master-data, lalu selaraskan semua modul (dan tampilkan pesan yang seragam). Ditemukan lewat automation per-modul (spec S-06 tiap modul) + konfirmasi Network manual.",Medium,Medium,Fajar Ardiansyah,Open,19 Agustus 2026,,
